timestamp,dx_rel,dy_rel,ear_left,ear_right,blink_l,blink_r,dist_cm,brightness,label
2025-12-12T16:42:18.813054,0.0124,-0.0417,0.4127,0.4573,0,0,46.4,117,CENTER
2025-12-12T16:42:18.898731,0.0076,-0.0406,0.4131,0.4487,0,0,46.1,117,CENTER
2025-12-12T16:42:18.999335,0.0088,-0.0403,0.4210,0.4513,0,0,46.6,117,CENTER
2025-12-12T16:42:19.067559,0.0109,-0.0396,0.4237,0.4476,0,0,46.7,117,CENTER
2025-12-12T16:42:19.154541,0.0153,-0.0383,0.4282,0.4308,0,0,46.5,117,CENTER
2025-12-12T16:42:19.243226,0.0129,-0.0361,0.4232,0.4417,0,0,46.7,117,CENTER
2025-12-12T16:42:19.323125,0.0135,-0.0379,0.4137,0.4460,0,0,46.6,117,CENTER
2025-12-12T16:42:19.435503,0.0054,-0.0369,0.4185,0.4474,0,0,46.3,117,CENTER
2025-12-12T16:42:19.499067,0.0049,-0.0405,0.4059,0.4499,0,0,46.5,117,CENTER
2025-12-12T16:42:19.609706,0.0037,-0.0445,0.4153,0.4478,0,0,46.5,117,CENTER
2025-12-12T16:42:19.669721,0.0044,-0.0442,0.4152,0.4513,0,0,46.6,117,CENTER
2025-12-12T16:42:19.772437,-0.0013,-0.0391,0.4175,0.4609,0,0,46.5,117,CENTER
2025-12-12T16:42:19.858539,-0.0116,-0.0341,0.4171,0.4609,0,0,46.2,117,CENTER
2025-12-12T16:42:19.930810,-0.0155,-0.0320,0.4153,0.4601,0,0,46.5,117,CENTER
2025-12-12T16:42:20.023338,-0.0123,-0.0326,0.4174,0.4670,0,0,46.5,117,CENTER
2025-12-12T16:42:20.116502,-0.0086,-0.0345,0.4188,0.4479,0,0,46.5,117,CENTER
2025-12-12T16:42:20.207448,-0.0096,-0.0352,0.4197,0.4487,0,0,46.6,117,CENTER
2025-12-12T16:42:20.305235,-0.0035,-0.0397,0.4182,0.4543,0,0,46.3,117,CENTER
2025-12-12T16:42:20.373769,0.0025,-0.0395,0.4160,0.4479,0,0,46.4,117,CENTER
2025-12-12T16:42:20.471178,0.0043,-0.0370,0.4148,0.4517,0,0,46.2,117,CENTER
2025-12-12T16:42:20.534207,-0.0001,-0.0344,0.4097,0.4686,0,0,46.3,117,CENTER
2025-12-12T16:42:20.642177,0.0011,-0.0369,0.4197,0.4689,0,0,46.3,117,CENTER
2025-12-12T16:42:20.726400,0.0039,-0.0350,0.4155,0.4664,0,0,46.5,117,CENTER
2025-12-12T16:42:20.813602,0.0040,-0.0327,0.4243,0.4622,0,0,46.3,117,CENTER
2025-12-12T16:42:20.910163,0.0065,-0.0310,0.4277,0.4466,0,0,46.1,117,CENTER
2025-12-12T16:42:20.978807,-0.0025,-0.0277,0.4303,0.5087,0,0,45.3,117,CENTER
2025-12-12T16:42:21.072260,-0.0065,-0.0229,0.4364,0.4901,0,0,45.3,117,CENTER
2025-12-12T16:42:21.161925,0.0009,-0.0263,0.4461,0.4827,0,0,45.5,117,CENTER
2025-12-12T16:42:21.244892,0.0023,-0.0274,0.4321,0.4690,0,0,45.2,117,CENTER
2025-12-12T16:42:21.339166,0.0057,-0.0251,0.4378,0.4780,0,0,45.5,117,CENTER
2025-12-12T16:42:21.417717,0.0082,-0.0255,0.4308,0.4756,0,0,45.8,117,CENTER
2025-12-12T16:42:21.496894,0.0065,-0.0271,0.4273,0.4673,0,0,45.7,117,CENTER
2025-12-12T16:42:21.603935,0.0067,-0.0277,0.4379,0.4876,0,0,45.6,117,CENTER
2025-12-12T16:42:21.665693,0.0095,-0.0277,0.4441,0.4937,0,0,45.9,117,CENTER
2025-12-12T16:42:21.768968,0.0113,-0.0252,0.4441,0.4847,0,0,45.8,117,CENTER
2025-12-12T16:42:21.848708,0.0077,-0.0229,0.4380,0.4742,0,0,45.6,117,CENTER
2025-12-12T16:42:21.931328,0.0103,-0.0242,0.4370,0.4766,0,0,45.7,117,CENTER
